374,6,5,9,000,1120.00,0.00,contact person,,2021-07-20,for the wll
373,7,9,6,100,788.15,0.00,contact person,,2020-07-22,
372,10,9,6,000,1000.00,0.00,contact person,,2020-07-22,
371,10,9,6,000,4000.00,800.00,contact person,nothing,2020-11-30,no dres
370,7,9,9,000,700.00,0.00,contact person,pay three time,2021-07-30,need start after the concreting
369,3,8,6,ref1,449.00,154.00,contact person,,2020-11-30,
368,4,5,6,001,7778.00,7000.00,Ming,,2020-11-30,
367,10,6,2,000,777.00,0.00,contact person,,2020-11-30,date au
366,7,9,9,66,279.00,69.00,contact person,,2020-07-29,job finishes today
365,6,6,8,000,69.00,69.00,contact person,the rest will pay after finishing the work,2021-07-29,second stage
364,1,8,8,000,840.00,0.00,contact person,need do it after discussing with steve,2020-12-30,"paint white, all floors,"
363,7,9,9,000,708.00,0.00,account@htmg.com,pay three time,2021-07-30,need start after the concreting
362,6,6,8,000,908.70,0.00,contact person,,2021-07-30,
360,2,8,9,177,109.00,0.00,Hamma,,2020-12-28,start soon
358,2,8,9,177,109.00,0.00,Hamma,,2020-12-28,start soon
350,7,9,9,100,788.15,0.00,contact person,,2021-08-28,
345,2,6,1,007,765.99,0.00,contact person,,2020-07-28,
342,2,2,1,000,673.55,0.00,contact person,,2020-07-30,test u
341,2,2,2,000,673.55,0.00,contact person,,2020-07-29,
337,4,8,2,000,673.55,0.00,contact person,,2020-09-02,
334,2,5,1,000,673.55,0.00,contact person,,2020-07-30,
331,2,2,2,000,673.58,0.00,contact person,,2020-07-31,
316,7,7,9,14,783.00,0.00,contact person,,2021-07-29,
315,3,8,7,000,778.90,0.00,contact person,,,
314,6,6,8,000,998.70,0.00,contact person,,,
312,7,9,9,66,299.00,0.00,contact person,,,
311,7,9,9,66,299.00,0.00,contact person,,,
310,7,9,9,66,199.00,0.00,contact person,,,
309,7,9,9,66,999.00,0.00,contact person,,,
308,7,9,9,66,799.00,0.00,contact person,,,
307,7,7,9,000,788.00,0.00,contact person,,2021-07-29,
304,1,8,8,000,349.00,0.00,contact person,,2020-12-30,
303,2,5,8,000,660.00,0.00,contact person,,2020-11-30,
300,1,6,2,000,123.00,0.00,contact person,,2020-07-29,
299,3,8,8,000,39999.00,0.00,contact person,,2020-08-28,
298,2,6,1,010,345.01,0.00,contact person,,2020-07-31,
297,1,6,1,009,673.50,0.00,contact person,,2020-07-30,
